,Species,Frequency
1,Anacadium occidentale,7
2,Daniella oliveri,55
3,Azadirachta indica,43
4,Gmelina arborea,55
5,Albizia zygia,10
6,Crossopteryx febrifuga,5
7,Syzygium guineenses,12
8,Khaya senegalensis,1
9,Lophira lanceolata,19
10,Hannoa undulata,18
11,Detarium microcarpum,17
12,Terminalia avicennoides,1
13,Burkea africana,8
14,Terminalia schimperiana,1
15,Parinari curitellifolia,5
16,Vitellaria paradoxa,4
17,Ptericarpus eriaceus,1
18,Mangifera indica,8
19,Elaeis guineensis,3
20,Ficus sycomorus,3
21,Combretum nigricans,1
22,Terminalia mentalis,4
23,Maranthes polyandra,2
24,Kuassia undulata,5
25,Scrychinos spinosa,2
26,Trichilia emetica,3
27,Pericopsis laxiflora,1
28,Lannea schrimperiana,3
29,Parkia biglobosa,1
30,Anthocleista djalonensis,1
31,Total,299
