S/NO,SPECIES,HEIGHT,DIAMETER,CROWN-DIAMETER,PLOT,WOOD-DENSITY
1,Tectona grandis,18,9.61,5.7,P1,0.615
2,Tectona grandis,16.2,7.7,5.6,P1,0.615
3,Tectona grandis,19,10.22,5.5,P1,0.615
4,Tectona grandis,17.1,8.37,6.2,P1,0.615
5,Tectona grandis,16,7.92,6.4,P1,0.615
6,Tectona grandis,17.6,8.85,5.1,P1,0.615
7,Tectona grandis,19.5,10.41,5.5,P1,0.615
8,Tectona grandis,17.8,8.43,6.8,P1,0.615
9,Tectona grandis,20.5,11.97,7.1,P1,0.615
10,Tectona grandis,19.9,10.76,6.1,P1,0.615
11,Tectona grandis,17,8.59,6.1,P1,0.615
12,Tectona grandis,18.5,9.29,7.8,P1,0.615
13,Tectona grandis,18,9.07,6.05,P1,0.615
14,Tectona grandis,17.5,8.59,6.3,P1,0.615
15,Tectona grandis,18.6,9.61,7.2,P1,0.615
16,Tectona grandis,21.6,14.16,8.05,P1,0.615
17,Tectona grandis,16.8,7.99,6.4,P1,0.615
18,Tectona grandis,18.5,9.68,7.9,P1,0.615
19,Tectona grandis,18.5,9.26,5.9,P1,0.615
20,Tectona grandis,19.6,10.98,7.3,P1,0.615
21,Tectona grandis,18.8,9.2,6.5,P1,0.615
22,Tectona grandis,19.2,12.89,7.05,P1,0.615
23,Tectona grandis,16.3,7.26,5.9,P1,0.615
24,Tectona grandis,17,8.5,6.5,P2,0.615
25,Tectona grandis,17.9,8.91,6.7,P2,0.615
26,Tectona grandis,18.1,9.36,7.2,P2,0.615
27,Tectona grandis,18.6,9.2,7.5,P2,0.615
28,Tectona grandis,16.6,7.96,5.3,P2,0.615
29,Tectona grandis,17.7,8.53,6.6,P2,0.615
30,Tectona grandis,16.6,7.64,6.9,P2,0.615
31,Tectona grandis,18,9.13,7.1,P2,0.615
32,Tectona grandis,18,9.87,8.05,P2,0.615
33,Tectona grandis,7,1.21,2.1,P2,0.615
34,Tectona grandis,17,8.4,6.05,P2,0.615
35,Tectona grandis,16.7,7.92,6,P2,0.615
36,Tectona grandis,18,9.1,7.05,P2,0.615
37,Tectona grandis,18.5,9.48,5.7,P2,0.615
38,Tectona grandis,17,8.5,6.5,P2,0.615
39,Tectona grandis,19.2,12.73,7.9,P2,0.615
40,Tectona grandis,16.5,7.16,4.7,P2,0.615
41,Tectona grandis,18.2,9.52,6.6,P2,0.615
42,Tectona grandis,18.4,9.33,7.8,P2,0.615
43,Tectona grandis,16.8,7.26,5.8,P2,0.615
44,Tectona grandis,17.8,8.78,6.3,P2,0.615
45,Tectona grandis,18,9.52,7.7,P2,0.615
46,Tectona grandis,13.4,7.29,6.9,P3,0.615
47,Tectona grandis,17.9,8.85,6,P3,0.615
48,Tectona grandis,16,7.54,6.9,P3,0.615
49,Tectona grandis,10.6,7.07,5.2,P3,0.615
50,Tectona grandis,15.9,7.26,5.3,P3,0.615
51,Tectona grandis,20,11.94,7.6,P3,0.615
52,Tectona grandis,18.2,9.01,6.05,P3,0.615
53,Tectona grandis,12,6.75,5,P3,0.615
54,Tectona grandis,15.7,5.89,3.7,P3,0.615
55,Tectona grandis,11.9,6.94,4.9,P3,0.615
56,Tectona grandis,18.4,9.2,7.8,P3,0.615
57,Tectona grandis,20.8,11.49,7.8,P3,0.615
58,Tectona grandis,17,8.02,6.8,P3,0.615
59,Tectona grandis,17.2,8.08,6.3,P3,0.615
60,Tectona grandis,18,9.17,7.2,P3,0.615
61,Tectona grandis,20.6,13.18,8.7,P3,0.615
62,Tectona grandis,18,9.23,8.9,P3,0.615
63,Tectona grandis,19,10.92,7.9,P3,0.615
64,Tectona grandis,14.9,7,4.7,P3,0.615
65,Tectona grandis,20,11.49,7.6,P3,0.615
66,Tectona grandis,17,8.08,5.3,P3,0.615
67,Tectona grandis,15,7.35,5.9,P4,0.615
68,Tectona grandis,14.4,5.79,3.1,P4,0.615
69,Tectona grandis,16.3,7.64,5.7,P4,0.615
70,Tectona grandis,19.2,10.18,6.05,P4,0.615
71,Tectona grandis,14.3,6.81,4.6,P4,0.615
72,Tectona grandis,20,10.82,7.7,P4,0.615
73,Tectona grandis,17.5,8.63,6,P4,0.615
74,Tectona grandis,12.2,6.24,4.7,P4,0.615
75,Tectona grandis,11.5,7.32,5.7,P4,0.615
76,Tectona grandis,17,8.59,6.7,P4,0.615
77,Tectona grandis,22,15.21,9.8,P4,0.615
78,Tectona grandis,18,9.87,7.7,P4,0.615
79,Tectona grandis,13,5.79,3.3,P4,0.615
80,Tectona grandis,17.5,8.4,5.2,P4,0.615
81,Tectona grandis,10.3,5.73,3.4,P4,0.615
82,Tectona grandis,12,5.19,3.4,P4,0.615
83,Tectona grandis,20,13.08,8.7,P4,0.615
84,Tectona grandis,18,9.23,7.05,P4,0.615
85,Tectona grandis,17.6,8.31,6.2,P4,0.615
86,Tectona grandis,14,6.14,3.6,P4,0.615
87,Tectona grandis,16,7.8,5.7,P5,0.615
88,Tectona grandis,18,9.23,7.2,P5,0.615
89,Tectona grandis,17.4,8.75,6.5,P5,0.615
90,Tectona grandis,17,8.34,6.8,P5,0.615
91,Tectona grandis,12,6.37,4.05,P5,0.615
92,Tectona grandis,14.4,7.1,4.7,P5,0.615
93,Tectona grandis,17,8.98,7.6,P5,0.615
94,Tectona grandis,16.3,7.38,5.5,P5,0.615
95,Tectona grandis,18.8,9.01,6.9,P5,0.615
96,Tectona grandis,18.6,9.99,7.2,P5,0.615
97,Tectona grandis,11.6,7.26,5.9,P5,0.615
98,Tectona grandis,17,8.85,6.8,P5,0.615
99,Tectona grandis,15.7,6.43,4.6,P5,0.615
100,Tectona grandis,16.9,7.42,5.1,P5,0.615
101,Tectona grandis,10,5.54,3.8,P5,0.615
102,Tectona grandis,18.2,9.96,7.3,P5,0.615
103,Tectona grandis,17,8.02,6.05,P5,0.615
104,Tectona grandis,18,9.2,6.2,P5,0.615
105,Tectona grandis,10,6.91,4.5,P5,0.615
106,Tectona grandis,17.5,8.59,6.6,P5,0.615
107,Tectona grandis,18.5,9.96,7.1,P5,0.615
108,Tectona grandis,17.2,8.82,6.3,P5,0.615
109,Tectona grandis,15.1,6.14,3.7,P6,0.615
110,Tectona grandis,12.7,6.37,4.2,P6,0.615
111,Tectona grandis,15,6.56,4.5,P6,0.615
112,Tectona grandis,11,6.08,3.6,P6,0.615
113,Tectona grandis,10.4,6.21,3.8,P6,0.615
114,Tectona grandis,13,5.54,3.5,P6,0.615
115,Tectona grandis,13.1,5.86,3.5,P6,0.615
116,Tectona grandis,12,6.24,4,P6,0.615
117,Tectona grandis,16.3,6.75,4.5,P6,0.615
118,Tectona grandis,12.7,5.98,3.05,P6,0.615
119,Tectona grandis,14,6.27,4.6,P6,0.615
120,Tectona grandis,16.8,7.51,6.05,P6,0.615
121,Tectona grandis,10.7,5.51,3.1,P6,0.615
122,Tectona grandis,10,5.76,3.9,P6,0.615
123,Tectona grandis,16.2,6.43,4.7,P6,0.615
124,Tectona grandis,16.7,7.48,6.8,P6,0.615
125,Tectona grandis,12.1,6.05,3.5,P6,0.615
126,Tectona grandis,15.2,6.27,4.6,P6,0.615
127,Tectona grandis,10,5.47,3.9,P6,0.615
128,Tectona grandis,15.7,6.75,4.1,P6,0.615
129,Tectona grandis,12.6,6.05,3.6,P6,0.615
130,Tectona grandis,14.6,6.37,4.6,P6,0.615
131,Tectona grandis,16,7.54,6.8,P6,0.615
132,Tectona grandis,16.2,7.73,6.9,P6,0.615
