,Species,Frequency,Trees.HA,Proportion...
7,Acacia nilotica,2,1,2.4
21,Acacia polyacanta,1,0.5,1.2
18,Anogeissus leiocarpus,1,0.5,1.2
24,Burkia africana,1,0.5,1.2
26,Combretun nigricans,1,0.5,1.2
25,Crossopteryx febrifuga,1,0.5,1.2
1,Daniella oliveri,24,12,28.9
5,Detarium microcapum,1,0.5,1.2
10,Elaeis guineensis,3,1.5,3.6
11,Ficus asperifilia,1,0.5,1.2
8,Ficus spp,1,0.5,1.2
15,Ficus sycomorus,1,0.5,1.2
16,Khaya senegalensis,5,2.5,6
22,Kigelia Africana,1,0.5,1.2
4,Lannea schrimperiana,4,2,4.8
17,Milicia excelsa,1,0.5,1.2
6,Parkia biglobosa,11,5.5,13.3
23,Pericopsis laxiflore,1,0.5,1.2
2,Prosopis africana,5,2.5,6
28,Pseudocedrata koschyi,1,0.5,1.2
19,Pterocarpus samtelinoides,1,0.5,1.2
3,Sterculia setigera,2,1,2.4
14,Syzygium guineense,1,0.5,1.2
27,Terminaalia schimperiana,1,0.5,1.2
20,Terminalia avicennoides,1,0.5,1.2
13,Vitellaria paradoxa,1,0.5,1.2
12,Vitex doniana,6,3,7.2
9,Vitex doniana   ,3,1.5,3.6
29,Total,83,41.5,100
